lon,lat,urban,region,n_births
-16.510216,15.994642,1,1,87
-16.505018,16.030107,1,1,93
-16.505007,15.697935,0,1,36
-16.504862,16.025761,1,1,37
-16.503895,15.074259,0,1,80
-16.50357,14.713196,1,1,39
-16.502693,14.794168,0,1,31
-16.50221,16.029383,1,1,47
-16.501449,15.900734,0,1,77
-16.501427,16.038497,1,1,15
-16.500478,12.804004,1,1,43
-16.499661,14.75927,0,1,112
-16.498934,14.657955,0,1,80
-16.498583,14.338041,0,1,22
-16.4976,16.00139,1,1,22
-16.497016,16.024683,1,1,17
-16.496824,14.42791,0,1,55
-16.495434,16.025095,1,1,23
-16.495291,15.999545,1,1,16
-16.495147,15.985531,1,1,80
-16.494718,16.016467,1,1,12
-16.494496,16.011121,1,1,15
-16.494171,13.097171,0,1,23
-16.494103,16.009228,1,1,53
-16.493648,12.778153,0,1,26
-16.493637,16.053572,1,1,56
-16.492558,16.029019,1,1,21
-16.492123,16.004256,1,1,60
-16.491858,16.038032,1,1,14
-16.489681,16.034536,1,1,30
-16.488427,16.020674,1,1,43
-16.488053,14.420125,0,1,69
-16.48607,16.022977,1,1,50
-16.481235,16.014475,1,1,11
-16.478723,15.996784,1,1,23
-16.4767,12.858316,0,1,23
-16.476639,14.110771,0,1,28
-16.469418,14.122536,1,1,61
-16.468536,14.120332,1,1,48
-16.463091,12.955807,0,1,57
-16.459452,15.370449,1,1,37
-16.454258,15.367521,1,1,35
-16.450084,14.701422,1,1,26
-16.442677,13.591805,0,1,61
-16.440115,15.731617,0,1,103
-16.439615,14.566422,0,1,32
-16.439507,14.433677,0,1,52
-16.439492,14.684856,1,1,43
-16.432667,15.933093,0,1,106
-16.426365,15.947359,0,1,35
-16.425718,14.582671,0,1,75
-16.424424,13.043721,0,1,100
-16.424165,13.599865,0,1,19
-16.422275,12.721136,0,1,12
-16.42167,12.720219,0,1,32
-16.420579,14.345974,0,1,52
-16.418309,14.993031,0,1,65
-16.414571,14.051175,0,1,37
-16.414277,12.843708,0,1,54
-16.413295,12.54409,0,1,20
-16.410223,14.331234,1,1,56
-16.409651,14.329892,1,1,15
-16.409586,14.326763,1,1,27
-16.407467,15.116827,0,1,27
-16.403436,15.3564,0,1,38
-16.402695,14.336147,1,1,18
-16.399926,14.118203,0,1,74
-16.39766,14.379631,0,1,36
-16.395638,14.335936,1,1,22
-16.394627,13.878121,0,1,32
-16.394319,15.400466,0,1,111
-16.392666,14.344321,1,1,35
-16.391866,14.487473,0,1,46
-16.389343,13.760105,0,1,41
-16.38813,13.816455,0,1,68
-16.384236,15.994538,0,1,83
-16.377844,14.583185,0,1,71
-16.376734,15.53459,0,1,16
-16.372983,13.881568,1,1,10
-16.372797,16.082634,0,1,27
-16.371688,16.210195,0,1,46
-16.364793,13.890106,1,1,14
-16.359193,13.894274,1,1,27
-16.358827,16.024906,0,1,70
-16.35762,14.730552,0,1,28
-16.354622,12.529299,0,1,29
-16.353989,15.238337,0,1,55
-16.353678,13.907693,0,1,34
-16.352282,14.533364,0,1,69
-16.351942,14.595898,0,1,62
-16.344976,12.727769,0,1,33
-16.341144,15.48585,0,1,17
-16.340171,13.688668,0,1,80
-16.335558,15.099198,0,1,33
-16.333643,12.488973,0,1,7
-16.326105,13.816933,0,1,108
-16.321197,14.694238,0,1,55
-16.320336,16.328215,0,1,51
-16.316358,12.865872,0,1,28
-16.308848,14.477599,0,1,33
-16.303183,14.040257,0,1,87
-16.299691,13.636366,0,1,100
-16.296649,12.571636,1,1,43
-16.296107,12.565399,1,1,33
-16.291691,12.552152,1,1,41
-16.2891,12.555603,1,1,15
-16.288336,12.562383,1,1,64
-16.286076,12.573562,1,1,17
-16.286037,15.856291,0,1,51
-16.284245,12.982331,0,1,34
-16.28242,12.537271,1,1,22
-16.281916,12.562113,1,1,45
-16.281839,13.695315,0,1,43
-16.28055,12.568335,1,1,35
-16.280498,12.565771,1,1,31
-16.279926,12.576345,1,1,48
-16.279498,12.569801,1,1,38
-16.276527,16.490519,0,1,24
-16.275718,12.552885,1,1,15
-16.275005,12.549786,1,1,49
-16.273765,12.554521,1,1,53
-16.27308,12.548737,1,1,33
-16.272656,12.571571,1,1,11
-16.272355,14.255874,1,1,43
-16.272056,12.572483,1,1,20
-16.271669,12.575746,1,1,70
-16.269878,12.572781,1,1,50
-16.269132,16.227148,0,1,77
-16.26894,12.571578,1,1,18
-16.268483,12.571544,1,1,23
-16.267639,15.794883,0,1,38
-16.26391,12.574861,1,1,22
-16.261646,12.562451,1,1,53
-16.260155,12.558921,1,1,18
-16.258562,12.97402,0,1,17
-16.25421,12.558106,1,1,25
-16.253954,15.499464,0,1,94
-16.252353,12.574296,1,1,37
-16.250577,14.65858,1,1,17
-16.249411,14.6585,1,1,9
-16.24859,14.637586,1,1,33
-16.247605,12.563287,1,1,32
-16.246738,14.574991,0,1,107
-16.24645,14.415479,0,1,61
-16.24542,12.799968,1,1,40
-16.245396,14.403455,0,1,38
-16.244648,12.803885,1,1,45
-16.24079,14.652471,1,1,60
-16.240715,15.625271,1,1,66
-16.238188,14.648374,1,1,51
-16.237082,14.651575,1,1,28
-16.236357,14.461715,0,1,21
-16.235874,15.608137,1,1,24
-16.232226,15.451053,0,1,37
